title,timestamp,search_count,date_collected
Air con,2019-12-08 00:00:00,56,2024-02-10 14:50:20.517742
Air con,2019-12-15 00:00:00,47,2024-02-10 14:50:20.517742
Air con,2019-12-22 00:00:00,43,2024-02-10 14:50:20.517743
Air con,2019-12-29 00:00:00,48,2024-02-10 14:50:20.517744
Air con,2020-01-05 00:00:00,53,2024-02-10 14:50:20.517744
Air con,2020-01-12 00:00:00,39,2024-02-10 14:50:20.517745
Air con,2020-01-19 00:00:00,31,2024-02-10 14:50:20.517745
Air con,2020-01-26 00:00:00,49,2024-02-10 14:50:20.517746
Air con,2020-02-02 00:00:00,33,2024-02-10 14:50:20.517746
Air con,2020-02-09 00:00:00,53,2024-02-10 14:50:20.517747
Air con,2020-02-16 00:00:00,53,2024-02-10 14:50:20.517748
Air con,2020-02-23 00:00:00,40,2024-02-10 14:50:20.517748
Air con,2020-03-01 00:00:00,55,2024-02-10 14:50:20.517749
Air con,2020-03-08 00:00:00,67,2024-02-10 14:50:20.517749
Air con,2020-03-15 00:00:00,53,2024-02-10 14:50:20.517750
Air con,2020-03-22 00:00:00,45,2024-02-10 14:50:20.517751
Air con,2020-03-29 00:00:00,47,2024-02-10 14:50:20.517751
Air con,2020-04-05 00:00:00,60,2024-02-10 14:50:20.517752
Air con,2020-04-12 00:00:00,65,2024-02-10 14:50:20.517752
Air con,2020-04-19 00:00:00,79,2024-02-10 14:50:20.517753
Air con,2020-04-26 00:00:00,56,2024-02-10 14:50:20.517754
Air con,2020-05-03 00:00:00,61,2024-02-10 14:50:20.517754
Air con,2020-05-10 00:00:00,100,2024-02-10 14:50:20.517755
Air con,2020-05-17 00:00:00,51,2024-02-10 14:50:20.517756
Air con,2020-05-24 00:00:00,75,2024-02-10 14:50:20.517756
Air con,2020-05-31 00:00:00,70,2024-02-10 14:50:20.517757
Air con,2020-06-07 00:00:00,60,2024-02-10 14:50:20.517757
Air con,2020-06-14 00:00:00,63,2024-02-10 14:50:20.517758
Air con,2020-06-21 00:00:00,53,2024-02-10 14:50:20.517758
Air con,2020-06-28 00:00:00,69,2024-02-10 14:50:20.517759
Air con,2020-07-05 00:00:00,56,2024-02-10 14:50:20.517760
Air con,2020-07-12 00:00:00,78,2024-02-10 14:50:20.517760
Air con,2020-07-19 00:00:00,74,2024-02-10 14:50:20.517761
Air con,2020-07-26 00:00:00,65,2024-02-10 14:50:20.517761
Air con,2020-08-02 00:00:00,85,2024-02-10 14:50:20.517762
Air con,2020-08-09 00:00:00,76,2024-02-10 14:50:20.517763
Air con,2020-08-16 00:00:00,50,2024-02-10 14:50:20.517763
Air con,2020-08-23 00:00:00,56,2024-02-10 14:50:20.517764
Air con,2020-08-30 00:00:00,65,2024-02-10 14:50:20.517764
Air con,2020-09-06 00:00:00,51,2024-02-10 14:50:20.517765
Air con,2020-09-13 00:00:00,44,2024-02-10 14:50:20.517766
Air con,2020-09-20 00:00:00,50,2024-02-10 14:50:20.517766
Air con,2020-09-27 00:00:00,42,2024-02-10 14:50:20.517767
Air con,2020-10-04 00:00:00,59,2024-02-10 14:50:20.517767
Air con,2020-10-11 00:00:00,51,2024-02-10 14:50:20.517768
Air con,2020-10-18 00:00:00,46,2024-02-10 14:50:20.517769
Air con,2020-10-25 00:00:00,50,2024-02-10 14:50:20.517769
Air con,2020-11-01 00:00:00,42,2024-02-10 14:50:20.517770
Air con,2020-11-08 00:00:00,48,2024-02-10 14:50:20.517770
Air con,2020-11-15 00:00:00,54,2024-02-10 14:50:20.517771
Air con,2020-11-22 00:00:00,46,2024-02-10 14:50:20.517772
Air con,2020-11-29 00:00:00,40,2024-02-10 14:50:20.517772
Air con,2020-12-06 00:00:00,36,2024-02-10 14:50:20.517773
Air con,2020-12-13 00:00:00,53,2024-02-10 14:50:20.517773
Air con,2020-12-20 00:00:00,57,2024-02-10 14:50:20.517774
Air con,2020-12-27 00:00:00,34,2024-02-10 14:50:20.517775
Air con,2021-01-03 00:00:00,44,2024-02-10 14:50:20.517775
Air con,2021-01-10 00:00:00,53,2024-02-10 14:50:20.517776
Air con,2021-01-17 00:00:00,31,2024-02-10 14:50:20.517776
Air con,2021-01-24 00:00:00,33,2024-02-10 14:50:20.517777
Air con,2021-01-31 00:00:00,31,2024-02-10 14:50:20.517778
Air con,2021-02-07 00:00:00,57,2024-02-10 14:50:20.517778
Air con,2021-02-14 00:00:00,38,2024-02-10 14:50:20.517779
Air con,2021-02-21 00:00:00,46,2024-02-10 14:50:20.517779
Air con,2021-02-28 00:00:00,68,2024-02-10 14:50:20.517780
Air con,2021-03-07 00:00:00,60,2024-02-10 14:50:20.517781
Air con,2021-03-14 00:00:00,69,2024-02-10 14:50:20.517781
Air con,2021-03-21 00:00:00,54,2024-02-10 14:50:20.517782
Air con,2021-03-28 00:00:00,61,2024-02-10 14:50:20.517783
Air con,2021-04-04 00:00:00,58,2024-02-10 14:50:20.517783
